CustomerID,Name,Age,Gender,Annual Income,Spending Score
90,Stanley Joyce,22.0,Female,77394.0,14.0
91,Dr Robin Goodwin,65.0,Male,103925.0,6.0
92,Liam Bradley,21.0,Male,30894.0,1.0
93,Mr Tom Williams,30.0,Female,93413.0,9.0
94,Ms Naomi Todd,54.0,Other,,80.0
95,Adam Marshall-Mason,58.0,Female,60142.0,80.0
96,Charlene Baker,32.0,Female,,54.0
97,Kayleigh Ford-Morris,33.0,Female,56813.0,12.0
98,Elaine Reynolds-Wilson,38.0,Male,69041.0,5.0
99,Mr Damian Brady,53.0,Male,268803.0,40.0
100,Irene Lloyd,41.0,Male,121504.0,
47,Lawrence Evans,50.0,Male,92885.0,59.0
92,Liam Bradley,21.0,Male,30894.0,1.0
26,Leanne Stanley,31.0,Other,87368.0,23.0
99,Mr Damian Brady,53.0,Male,268803.0,40.0
56,Julie Robinson-Morgan,68.0,Male,,68.0
